,Job_Title,Salary_Estimate,Rating,Company_Name,Location,Headquarters,Size,Founded,Ownership_Type,Industry,Sector,Revenue,Competitors,Easy_Apply,Minimum_Salary,Maximum_Salary
0,Data Engineer,$80K-$150K,4.5,Sagence,"New York, NY","Chicago, IL",1 to 50 employees,2009,Company - Private,Consulting,Business Services,$10 to $25 million (USD),"WCI Consulting, PwC",0,80000,150000
1,Data Engineer,$80K-$150K,3.4,Enterprise Integration,"New York, NY","Jacksonville, FL",51 to 200 employees,1998,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),0,0,80000,150000
2,Data Engineer,$80K-$150K,5,Maestro Technologies,"New York, NY","Trenton, NJ",51 to 200 employees,2003,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),0,0,80000,150000
3,Data Engineer,$80K-$150K,4.8,Jane Street,"New York, NY","New York, NY",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,0,0,80000,150000
4,Data Engineer,$80K-$150K,3.7,GNY Insurance Companies,"New York, NY","New York, NY",201 to 500 employees,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Travelers, Chubb, Crum & Forster",True,80000,150000
5,Data Engineer,$80K-$150K,3.7,Oscar Health,"New York, NY","New York, NY",1001 to 5000 employees,2012,Company - Private,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD),0,True,80000,150000
6,Data Engineer,$80K-$150K,3,Affinity Solutions,"New York, NY","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",True,80000,150000
7,Data Engineer,$80K-$150K,4.2,NJF Global Holdings,"New York, NY","London, United Kingdom",51 to 200 employees,2003,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),0,True,80000,150000
9,Data Engineer,$80K-$150K,4.4,Conductor,"New York, NY","New York, NY",201 to 500 employees,2010,Company - Private,Internet,Information Technology,$25 to $50 million (USD),"Brightedge Technologies, Moz, seoClarity",True,80000,150000
10,Data Engineer,$80K-$150K,4.8,Jane Street,"New York, NY","New York, NY",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,0,0,80000,150000
11,Data Engineer,$80K-$150K,4,Twitter,"New York, NY","San Francisco, CA",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"Facebook, Google, Pinterest",0,80000,150000
12,Data Engineer,$80K-$150K,3.9,Verra Mobility,"Jersey City, NJ","Mesa, AZ",501 to 1000 employees,1987,Company - Public,Transportation Management,Transportation & Logistics,Unknown / Non-Applicable,0,0,80000,150000
13,Data Engineer,$80K-$150K,3.9,7Park Data,"New York, NY","New York, NY",51 to 200 employees,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,0,0,80000,150000
14,Data Engineer,$80K-$150K,3.5,Veeva Systems,"New York, NY","Pleasanton, CA",1001 to 5000 employees,2007,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD),0,0,80000,150000
15,Data Engineer,$80K-$150K,3.8,Citadel,"New York, NY","Chicago, IL",1001 to 5000 employees,1990,Company - Private,0,0,$50 to $100 million (USD),"Soros Fund Management, D. E. Shaw & Co. - Investment Firm, Fortress Investment Group",0,80000,150000
16,Data Engineer,$80K-$150K,4.4,PulsePoint,"New York, NY","New York, NY",51 to 200 employees,2011,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Crossix Solutions Inc., AppNexus, The Trade Desk",0,80000,150000
17,Data Engineer,$80K-$150K,3,CEF Solutions Inc.,"Hackensack, NJ","Fort Lee, NJ",1 to 50 employees,0,Company - Public,0,0,Unknown / Non-Applicable,0,0,80000,150000
18,Data Engineer,$80K-$150K,5,OpenSlate,"New York, NY","New York, NY",51 to 200 employees,2012,Company - Private,Publishing,Media,Unknown / Non-Applicable,0,0,80000,150000
19,Data Engineer,$80K-$150K,3.3,PA Consulting,"New York, NY","London, United Kingdom",1001 to 5000 employees,1943,Company - Private,Consulting,Business Services,$100 to $500 million (USD),"McKinsey & Company, Accenture, Deloitte",0,80000,150000
20,Data Engineer,$80K-$150K,3.3,Aetna,"New York, NY","Hartford, CT",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),0,0,80000,150000
21,Data Engineer,$80K-$150K,4.1,Colgate-Palmolive,"New York, NY","New York, NY",10000+ employees,1806,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),0,0,80000,150000
22,Data Engineer,$80K-$150K,3.7,PepsiCo,"New York, NY","Purchase, NY",10000+ employees,1965,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),"Unilever, Mondel?z International, Amazon",0,80000,150000
23,Data Engineer,$80K-$150K,3.8,Spotify,"New York, NY","Stockholm, Sweden",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,0,0,80000,150000
24,Data Engineer,$80K-$150K,4.9,Freestar,"New York, NY","Phoenix, AZ",1 to 50 employees,2016,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),0,0,80000,150000
25,Data Engineer,$80K-$150K,4.3,Medidata Solutions,"New York, NY","New York, NY",1001 to 5000 employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD),Oracle,0,80000,150000
26,Data Engineer,$80K-$150K,4.7,Cockroach Labs,"New York, NY","New York, NY",51 to 200 employees,2015,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),0,0,80000,150000
27,Data Engineer,$80K-$150K,3.6,T. Rowe Price,"New York, NY","Baltimore, MD",5001 to 10000 employees,1937,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),0,0,80000,150000
28,Data Engineer,$80K-$150K,3.6,DoubleVerify,"New York, NY","New York, NY",201 to 500 employees,2008,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,0,0,80000,150000
29,Data Engineer,$80K-$150K,2.5,FourSquare,"New York, NY","New York, NY",201 to 500 employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,0,0,80000,150000
30,Data Engineer,$73K-$94K,5,Maestro Technologies,"New York, NY","Trenton, NJ",51 to 200 employees,2003,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),0,0,73000,94000
31,Data Engineer,$73K-$94K,3.7,GNY Insurance Companies,"New York, NY","New York, NY",201 to 500 employees,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Travelers, Chubb, Crum & Forster",True,73000,94000
32,Data Engineer,$73K-$94K,3.5,Daily Harvest,"New York, NY","New York, NY",51 to 200 employees,2015,Company - Private,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable,0,0,73000,94000
33,Data Engineer,$73K-$94K,3.1,Healthfirst,"New York, NY","New York, NY",1001 to 5000 employees,1993,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,"EmblemHealth, UnitedHealth Group, Aetna",0,73000,94000
34,Data Engineer,$73K-$94K,3.9,Point72,"New York, NY","Stamford, CT",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,0,0,73000,94000
35,Data Engineer,$73K-$94K,4.2,MayStreet,"New York, NY","New York, NY",1 to 50 employees,2012,Company - Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable,0,True,73000,94000
36,Data Engineer,$73K-$94K,2.9,Arrow Fastener,"Saddle Brook, NJ","Saddle Brook, NJ",201 to 500 employees,1929,Company - Private,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),0,0,73000,94000
37,Data Engineer,$73K-$94K,3.8,New York Times,"New York, NY","New York, NY",1001 to 5000 employees,1896,Company - Public,News Outlet,Media,$1 to $2 billion (USD),0,0,73000,94000
38,Data Engineer,$73K-$94K,4.7,SADA,"New York, NY","North Hollywood, CA",51 to 200 employees,2000,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),0,0,73000,94000
39,Data Engineer,$73K-$94K,3.5,Larsen & Toubro Infotech Limited,"New York, NY","Mumbai, India",10000+ employees,1997,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,"Infosys, Accenture, Capgemini",0,73000,94000
40,Data Engineer,$73K-$94K,3.8,"Peloton Interactive, Inc.","New York, NY","New York, NY",1001 to 5000 employees,2012,Company - Public,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,0,0,73000,94000
41,Data Engineer,$73K-$94K,-1,Aptino,"New York, NY","Irving, TX",51 to 200 employees,0,Company - Private,0,0,Unknown / Non-Applicable,0,0,73000,94000
42,Data Engineer,$73K-$94K,3.9,Columbia University,"New York, NY","New York, NY",10000+ employees,1938,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),0,0,73000,94000
43,Data Engineer,$73K-$94K,2.7,Bark & Co,"New York, NY","New York, NY",201 to 500 employees,2011,Company - Private,Pet & Pet Supplies Stores,Retail,Unknown / Non-Applicable,0,0,73000,94000
44,Data Engineer,$73K-$94K,3.9,AVANADE,"New York, NY","Seattle, WA",10000+ employees,2000,Company - Private,IT Services,Information Technology,$2 to $5 billion (USD),"Slalom, Cognizant Technology Solutions, Deloitte",0,73000,94000
45,Data Engineer,$73K-$94K,3.8,New York Times,"New York, NY","New York, NY",1001 to 5000 employees,1896,Company - Public,News Outlet,Media,$1 to $2 billion (USD),0,0,73000,94000
46,Data Engineer,$73K-$94K,4.1,Apple,"New York, NY","Cupertino, CA",10000+ employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Google, Microsoft, Samsung Electronics",0,73000,94000
47,Data Engineer,$73K-$94K,3.1,Glossier,"New York, NY","New York, NY",201 to 500 employees,2014,Company - Private,Beauty & Personal Accessories Stores,Retail,$100 to $500 million (USD),0,0,73000,94000
48,Data Engineer,$73K-$94K,3.9,Point72,"New York, NY","Stamford, CT",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,0,0,73000,94000
49,Data Engineer,$73K-$94K,3.8,CommonBond,"New York, NY","New York, NY",51 to 200 employees,2011,Company - Private,Lending,Finance,Unknown / Non-Applicable,0,0,73000,94000
50,Data Engineer,$73K-$94K,4.8,Reaktor,"New York, NY","Helsinki, Finland",501 to 1000 employees,2000,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),0,0,73000,94000
51,Data Engineer,$73K-$94K,3.9,Stash,"New York, NY","New York, NY",51 to 200 employees,2015,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,0,0,73000,94000
52,Data Engineer,$73K-$94K,4.4,Mark43,"New York, NY","New York, NY",51 to 200 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $10 million (USD),0,True,73000,94000
53,Data Engineer,$73K-$94K,4.7,B12,"New York, NY","New York, NY",1 to 50 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,0,0,73000,94000
54,Data Engineer,$73K-$94K,-1,Clear Street,"New York, NY","New York, NY",51 to 200 employees,2018,Company - Public,0,0,$1 to $5 million (USD),0,0,73000,94000
55,Data Engineer,$73K-$94K,3.1,Sirius XM,"New York, NY","New York, NY",1001 to 5000 employees,1990,Company - Public,Radio,Media,$2 to $5 billion (USD),0,0,73000,94000
56,Data Engineer,$73K-$94K,1,Tiro,"New York, NY","Minneapolis, MN",201 to 500 employees,0,Company - Private,0,0,Unknown / Non-Applicable,0,0,73000,94000
57,Data Engineer,$73K-$94K,4.7,Seated,"New York, NY","New York, NY",1 to 50 employees,2017,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,0,0,73000,94000
58,Data Engineer,$73K-$94K,3.9,Vimeo,"New York, NY","New York, NY",501 to 1000 employees,2004,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,"YouTube, Netflix, Hulu",0,73000,94000
59,Data Engineer,$73K-$94K,-1,Thinknum,"New York, NY","New York, NY",0,0,Company - Private,0,0,Unknown / Non-Applicable,0,0,73000,94000
60,Data Engineer,$73K-$94K,3.9,Amazon,"New York, NY","Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),"Google, Microsoft, Walmart",0,73000,94000
61,Data Engineer,$73K-$94K,-1,The Princeton Group,"New York, NY","New York, NY",1 to 50 employees,0,Company - Private,0,0,Less than $1 million (USD),0,0,73000,94000
62,Data Engineer,$85K-$154K,3,Affinity Solutions,"New York, NY","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",True,85000,154000
63,Data Engineer,$85K-$154K,4.2,NJF Global Holdings,"New York, NY","London, United Kingdom",51 to 200 employees,2003,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),0,True,85000,154000
64,Data Engineer,$85K-$154K,-1,Pinto,"New York, NY","New York, NY",1 to 50 employees,0,Company - Private,0,0,Unknown / Non-Applicable,0,0,85000,154000
65,Data Engineer,$85K-$154K,3.9,Millennium,"New York, NY","New York, NY",1001 to 5000 employees,1989,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,0,0,85000,154000
66,Data Engineer,$85K-$154K,3.8,Bloomberg,"New York, NY","New York, NY",10000+ employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Google, Goldman Sachs, Thomson Reuters",0,85000,154000
67,Data Engineer,$85K-$154K,3.6,Nasdaq,"New York, NY","New York, NY",1001 to 5000 employees,1971,Company - Public,Stock Exchanges,Finance,$2 to $5 billion (USD),"ICE, CME Group, Cboe Global Markets",0,85000,154000
68,Data Engineer,$85K-$154K,3.9,Balyasny Asset Management,"New York, NY","Chicago, IL",501 to 1000 employees,2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,0,0,85000,154000
69,Data Engineer,$85K-$154K,3.8,National Basketball Association,"Secaucus, NJ","New York, NY",1001 to 5000 employees,1946,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,0,0,85000,154000
70,Data Engineer,$85K-$154K,-1,Attentive,"New York, NY","Braga, Portugal",1 to 50 employees,0,Company - Private,0,0,Unknown / Non-Applicable,0,0,85000,154000
71,Data Engineer,$85K-$154K,4.9,Teachers Pay Teachers,"New York, NY","New York, NY",51 to 200 employees,2006,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,0,0,85000,154000
72,Data Engineer,$85K-$154K,4.1,Datadog,"New York, NY","New York, NY",1001 to 5000 employees,2010,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),0,0,85000,154000
73,Data Engineer,$85K-$154K,3.9,Millennium,"New York, NY","New York, NY",1001 to 5000 employees,1989,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,0,0,85000,154000
74,Data Engineer,$85K-$154K,-1,Proinfy,"Parsippany, NJ","Cumming, GA",0,0,Company - Public,0,0,Unknown / Non-Applicable,0,0,85000,154000
75,Data Engineer,$85K-$154K,3.5,Veeva Systems,"New York, NY","Pleasanton, CA",1001 to 5000 employees,2007,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD),0,0,85000,154000
76,Data Engineer,$85K-$154K,4.5,Facebook,"New York, NY","Menlo Park, CA",10000+ employees,2004,Company - Public,Internet,Information Technology,$5 to $10 billion (USD),"Google, Microsoft, Apple",0,85000,154000
77,Data Engineer,$85K-$154K,5,Hudson River Trading,"New York, NY","New York, NY",201 to 500 employees,2002,Company - Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable,0,0,85000,154000
78,Data Engineer,$85K-$154K,5,LaBine & Associates,"New York, NY","San Mateo, CA",1 to 50 employees,2013,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,0,0,85000,154000
79,Data Engineer,$85K-$154K,3.6,New York Life Insurance Co,"New York, NY","New York, NY",10000+ employees,1845,Company - Private,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),0,0,85000,154000
80,Data Engineer,$85K-$154K,4.3,BrainPOP,"New York, NY","New York, NY",51 to 200 employees,1999,Company - Private,K-12 Education,Education,Unknown / Non-Applicable,0,True,85000,154000
81,Data Engineer,$85K-$154K,3.2,Quadpay,"New York, NY","New York, NY",51 to 200 employees,2018,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable,0,0,85000,154000
82,Data Engineer,$85K-$154K,4,Walt Disney Co.,"New York, NY","Burbank, CA",10000+ employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),"News Corp, WarnerMedia, NBCUniversal",0,85000,154000
83,Data Engineer,$85K-$154K,4.3,Caserta,"New York, NY","New York, NY",51 to 200 employees,2001,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,0,0,85000,154000
84,Data Engineer,$85K-$154K,3.8,Citadel,"New York, NY","Chicago, IL",1001 to 5000 employees,1990,Company - Private,0,0,$50 to $100 million (USD),"Soros Fund Management, D. E. Shaw & Co. - Investment Firm, Fortress Investment Group",0,85000,154000
85,Data Engineer,$85K-$154K,3.8,Columbia University Medical Center,"New York, NY","New York, NY",5001 to 10000 employees,0,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),0,0,85000,154000
86,Data Engineer,$85K-$154K,4.5,Elevano,"New York, NY","Irvine, CA",1 to 50 employees,2009,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),0,0,85000,154000
87,Data Engineer,$85K-$154K,3.8,Spotify,"New York, NY","Stockholm, Sweden",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,0,0,85000,154000
88,Data Engineer,$85K-$154K,3.3,Aetna,"New York, NY","Hartford, CT",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),0,0,85000,154000
89,Data Engineer,$85K-$154K,3.5,Affirm,"New York, NY","San Francisco, CA",501 to 1000 employees,2012,Company - Private,Lending,Finance,Unknown / Non-Applicable,0,0,85000,154000
90,Data Engineer,$85K-$154K,3.4,Blue State,"New York, NY","Brooklyn, NY",51 to 200 employees,2004,Subsidiary or Business Segment,Advertising & Marketing,Business Services,$25 to $50 million (USD),0,0,85000,154000
91,Data Engineer,$85K-$154K,4.4,Atyeti,"New York, NY","Princeton, NJ",201 to 500 employees,2008,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),0,0,85000,154000
92,Data Engineer,$85K-$154K,3.6,Nasdaq,"New York, NY","New York, NY",1001 to 5000 employees,1971,Company - Public,Stock Exchanges,Finance,$2 to $5 billion (USD),"ICE, CME Group, Cboe Global Markets",0,85000,154000
93,Data Engineer,$85K-$154K,3.5,American Modern Insurance Group,"New York, NY","Amelia, OH",0,1994,Subsidiary or Business Segment,Insurance Carriers,Insurance,$25 to $50 million (USD),0,0,85000,154000
94,Data Engineer,$84K-$113K,4.4,Conductor,"New York, NY","New York, NY",201 to 500 employees,2010,Company - Private,Internet,Information Technology,$25 to $50 million (USD),"Brightedge Technologies, Moz, seoClarity",True,84000,113000
95,Data Engineer,$84K-$113K,4,Twitter,"New York, NY","San Francisco, CA",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"Facebook, Google, Pinterest",0,84000,113000
96,Data Engineer,$84K-$113K,2.6,Transit Wireless (USD),"New York, NY","New York, NY",51 to 200 employees,0,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable,0,0,84000,113000
97,Data Engineer,$84K-$113K,4.4,Addepar,"New York, NY","Mountain View, CA",201 to 500 employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,84000,113000
98,Data Engineer,$84K-$113K,3.9,Point72,"New York, NY","Stamford, CT",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,0,0,84000,113000
99,Data Engineer,$84K-$113K,3.9,Silver Search Inc,"New York, NY","Fort Lee, NJ",0,0,Contract,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,0,0,84000,113000
100,Data Engineer,$84K-$113K,5,Millennium Partners,"New York, NY","San Francisco, CA",51 to 200 employees,1991,Company - Private,Real Estate,Real Estate,$1 to $5 million (USD),"Extell, Tishman Speyer",0,84000,113000
101,Data Engineer,$84K-$113K,3.5,"Pandora Media, Inc.","New York, NY","Oakland, CA",1001 to 5000 employees,2000,Company - Public,Radio,Media,$500 million to $1 billion (USD),0,0,84000,113000
102,Data Engineer,$84K-$113K,2.9,Novantas,"New York, NY","New York, NY",201 to 500 employees,1999,Company - Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable,0,0,84000,113000
103,Data Engineer,$84K-$113K,-1,Entera,"New York, NY","New York, NY",0,0,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,0,0,84000,113000
104,Data Engineer,$84K-$113K,2.8,Stadium Goods,"New York, NY","New York, NY",51 to 200 employees,0,Company - Private,0,0,Unknown / Non-Applicable,0,0,84000,113000
105,Data Engineer,$84K-$113K,3.9,FanDuel,"New York, NY","New York, NY",501 to 1000 employees,2009,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),DraftKings,True,84000,113000
106,Data Engineer,$84K-$113K,3.7,Munich Re,"New York, NY","Munich, Germany",5001 to 10000 employees,1880,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),0,0,84000,113000
107,Data Engineer,$84K-$113K,4,Ladders,"New York, NY","New York, NY",51 to 200 employees,2003,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Indeed, LinkedIn",0,84000,113000
108,Data Engineer,$84K-$113K,4.5,Facebook,"New York, NY","Menlo Park, CA",10000+ employees,2004,Company - Public,Internet,Information Technology,$5 to $10 billion (USD),"Google, Microsoft, Apple",0,84000,113000
109,Data Engineer,$84K-$113K,3.9,J.P. Morgan,"Newark, NJ","New York, NY",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),0,0,84000,113000
110,Data Engineer,$84K-$113K,3.7,WisdomTree Investments Inc,"New York, NY","New York, NY",201 to 500 employees,0,Company - Public,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),VanEck,0,84000,113000
111,Data Engineer,$84K-$113K,4.3,The Boston Consulting Group,"New York, NY","Boston, MA",10000+ employees,1963,Company - Private,Consulting,Business Services,$5 to $10 million (USD),"McKinsey & Company, Bain & Company, Accenture",0,84000,113000
112,Data Engineer,$84K-$113K,3.8,Spotify,"New York, NY","Stockholm, Sweden",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,0,0,84000,113000
113,Data Engineer,$84K-$113K,3.3,ERGO Group,"New York, NY","Dublin, Ireland",201 to 500 employees,1993,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),0,0,84000,113000
114,Data Engineer,$84K-$113K,-1,Pierce Technology Corp,"New York, NY",0,0,0,0,0,0,0,0,0,84000,113000
115,Data Engineer,$84K-$113K,4,Progyny,"New York, NY","New York, NY",51 to 200 employees,2015,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,0,0,84000,113000
116,Data Engineer,$84K-$113K,4.6,"Conch Technologies, Inc","New York, NY","Memphis, TN",51 to 200 employees,0,Company - Private,Consulting,Business Services,$5 to $10 million (USD),0,0,84000,113000
117,Data Engineer,$84K-$113K,-1,MANTA (Czech Republic),"New York, NY","Prague, Czech Republic",1 to 50 employees,0,Unknown,0,0,Unknown / Non-Applicable,0,True,84000,113000
118,Data Engineer,$84K-$113K,2.5,FourSquare,"New York, NY","New York, NY",201 to 500 employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,0,0,84000,113000
119,Data Engineer,$84K-$113K,3.4,Business Insider,"New York, NY","New York, NY",201 to 500 employees,2007,Company - Private,News Outlet,Media,$50 to $100 million (USD),0,0,84000,113000
120,Data Engineer,$84K-$113K,5,Resource 1,"Newark, NJ","Creve Coeur, MO",1 to 50 employees,0,Company - Private,0,0,Unknown / Non-Applicable,0,0,84000,113000
121,Data Engineer,$84K-$113K,4.8,TelTech,"New York, NY","South Amboy, NJ",51 to 200 employees,2005,Company - Public,Telecommunications Services,Telecommunications,$5 to $10 million (USD),0,0,84000,113000
122,Data Engineer,$84K-$113K,3.4,HelloFresh,"New York, NY","Berlin, Germany",1001 to 5000 employees,2011,Company - Public,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,0,0,84000,113000
123,Data Engineer,$84K-$113K,4.7,Fivesky,"New York, NY","New York, NY",51 to 200 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),0,0,84000,113000
124,Data Engineer,$84K-$113K,2.8,Getty Images,"New York, NY","Seattle, WA",1001 to 5000 employees,1995,Company - Private,Photography,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,"Adobe, Shutterstock",0,84000,113000
125,Data Engineer,$84K-$113K,3.4,PlaceIQ,"New York, NY","New York, NY",51 to 200 employees,2010,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),0,0,84000,113000
126,Data Engineer,$57K-$75K,4.8,Jane Street,"New York, NY","New York, NY",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,0,0,57000,75000
127,Data Engineer,$57K-$75K,3.5,Veeva Systems,"New York, NY","Pleasanton, CA",1001 to 5000 employees,2007,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD),0,0,57000,75000
128,Data Engineer,$57K-$75K,3.9,Amazon,"New York, NY","Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),"Google, Microsoft, Walmart",0,57000,75000
129,Data Engineer,$57K-$75K,4.2,Tapad,"New York, NY","New York, NY",51 to 200 employees,2010,Company - Private,Internet,Information Technology,$50 to $100 million (USD),0,True,57000,75000
130,Data Engineer,$57K-$75K,4.4,INTURN,"New York, NY","New York, NY",1 to 50 employees,0,Company - Private,0,0,Less than $1 million (USD),0,0,57000,75000
131,Data Engineer,$57K-$75K,4.1,Nokia,"New York, NY","Nokia, Finland",10000+ employees,1865,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),"Ericsson-Worldwide, Huawei Technologies, Microsoft",0,57000,75000
132,Data Engineer,$57K-$75K,4.5,Policygenius,"New York, NY","New York, NY",201 to 500 employees,2012,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,0,0,57000,75000
133,Data Engineer,$57K-$75K,-1,"Lokavant, Inc.","New York, NY","New York, NY",1 to 50 employees,0,Company - Private,0,0,Unknown / Non-Applicable,0,0,57000,75000
134,Data Engineer,$57K-$75K,4,Rockstar Games,"New York, NY","New York, NY",1001 to 5000 employees,1998,Subsidiary or Business Segment,Video Games,Media,$10 to $25 million (USD),0,0,57000,75000
135,Data Engineer,$57K-$75K,3.9,ApTask,"New York, NY","Iselin, NJ",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"Collabera, Mitchell Martin, The Judge Group",0,57000,75000
136,Data Engineer,$57K-$75K,3.4,City of New York,"New York, NY","New York, NY",10000+ employees,1625,Government,Municipal Governments,Government,Unknown / Non-Applicable,0,0,57000,75000
137,Data Engineer,$57K-$75K,3.2,AllianceBernstein,"New York, NY","New York, NY",1001 to 5000 employees,1967,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),0,0,57000,75000
138,Data Engineer,$57K-$75K,3.8,Spotify,"New York, NY","Stockholm, Sweden",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,0,0,57000,75000
